time,field_linear_x,field_linear_y,field_linear_z,field_angular_x,field_angular_y,field_angular_z
0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.3,0.0,0.0,0.0,0.0,0.0
2.0,0.3,0.0,0.0,0.0,0.0,0.0
3.0,0.3,0.0,0.0,0.0,0.0,0.0
4.0,0.3,0.0,0.0,0.0,0.0,0.0
5.0,0.3,0.0,0.0,0.0,0.0,0.0
6.0,0.3,0.0,0.0,0.0,0.0,0.0
7.0,0.3,0.0,0.0,0.0,0.0,0.0
8.0,0.3,0.0,0.0,0.0,0.0,0.0
9.0,0.3,0.0,0.0,0.0,0.0,0.0
10.0,0.3,0.0,0.0,0.0,0.0,0.0
11.0,0.3,0.0,0.0,0.0,0.0,0.3
12.0,0.3,0.0,0.0,0.0,0.0,0.3
13.0,0.3,0.0,0.0,0.0,0.0,0.3
14.0,0.3,0.0,0.0,0.0,0.0,0.3
15.0,0.3,0.0,0.0,0.0,0.0,0.3
16.0,0.3,0.0,0.0,0.0,0.0,0.0
17.0,0.3,0.0,0.0,0.0,0.0,0.0
18.0,0.3,0.0,0.0,0.0,0.0,0.0
19.0,0.3,0.0,0.0,0.0,0.0,0.0
20.0,0.3,0.0,0.0,0.0,0.0,0.0
21.0,0.3,0.0,0.0,0.0,0.0,0.0
22.0,0.3,0.0,0.0,0.0,0.0,0.0
23.0,0.3,0.0,0.0,0.0,0.0,0.0
24.0,0.3,0.0,0.0,0.0,0.0,0.0
25.0,0.3,0.0,0.0,0.0,0.0,0.0
26.0,0.0,0.0,0.0,0.0,0.0,0.0
27.0,0.0,0.0,0.0,0.0,0.0,0.0
